feature,coefficient,abs_coefficient
Age,0.8016486575347002,0.8016486575347002
Geography_Germany,0.4966632368414946,0.4966632368414946
IsActiveMember,-0.4424404958513822,0.4424404958513822
Geography_France,-0.327655954142208,0.327655954142208
Gender_Male,-0.32447675947502524,0.32447675947502524
Geography_Spain,-0.2715663402736345,0.2715663402736345
Gender_Female,0.22191770190068422,0.22191770190068422
Balance,0.1755568381621486,0.1755568381621486
CreditScore,-0.0869391569556549,0.0869391569556549
NumOfProducts,-0.05769963595671674,0.05769963595671674
EstimatedSalary,0.05034816983141481,0.05034816983141481
HasCrCard,-0.031528823868837014,0.031528823868837014
Tenure,-0.018917470397197884,0.018917470397197884
